x11-plugins/wmudmount [sys-fs/udisks,gnome-base/gnome-keyring,x11-libs/libnotify,x11-libs/gtk+,dev-libs/dbus-glib]
dev-java/ant-apache-resolver [virtual/jre,virtual/jdk,dev-java/ant-core,dev-java/xml-commons-resolver,sys-apps/portage]
dev-php/PEAR-Text_Wiki [dev-lang/php,dev-php/PEAR-PEAR,dev-php/pear]
app-laptop/ibam [app-admin/gkrellm,sys-apps/sed]
kde-misc/ktrafficanalyzer [x11-libs/libXxf86vm,dev-util/pkgconfig,x11-libs/qt-script,x11-proto/xf86vidmodeproto,x11-libs/qt-gui,x11-libs/qt-core,x11-libs/qt-qt3support,dev-util/automoc,x11-libs/qt-svg,x11-libs/libXt,x11-libs/libXtst,x11-libs/qt-sql,dev-lang/perl,kde-base/kdelibs,dev-util/cmake,x11-libs/qt-test]
app-emulation/open-vm-tools-kmod [sys-apps/module-init-tools,sys-kernel/gentoo-sources]
games-mud/mudix []
app-emacs/sawfish [x11-wm/sawfish,virtual/emacs]
sys-kernel/linux-headers [app-arch/xz-utils,app-arch/lzma-utils]
dev-ruby/ruby-gsl [sci-libs/gsl,dev-lang/ruby]
